127.0.0.1, -, 23/05/05, 22:27:03, W3SVC, VIVASANMARTIN, 127.0.0.1, 7, 341, 103, 501, 50, POST, /_vti_bin/shtml.exe/_vti_rpc, -,
127.0.0.1, -, 23/05/05, 22:27:20, W3SVC, VIVASANMARTIN, 127.0.0.1, 229, 200, 3982, 200, 0, GET, /, -,
127.0.0.1, -, 26/05/05, 14:23:22, W3SVC, VIVASANMARTIN, 127.0.0.1, 67, 278, 72, 304, 0, GET, /htmla/htmla.htm, -,
127.0.0.1, -, 26/05/05, 14:23:24, W3SVC, VIVASANMARTIN, 127.0.0.1, 1539, 325, 72, 304, 0, GET, /htmla/spec1.gif, -,
127.0.0.1, -, 26/05/05, 14:23:24, W3SVC, VIVASANMARTIN, 127.0.0.1, 1047, 322, 72, 304, 0, GET, /htmla/ftp.gif, -,
127.0.0.1, -, 26/05/05, 14:23:24, W3SVC, VIVASANMARTIN, 127.0.0.1, 1081, 322, 72, 304, 0, GET, /htmla/www.gif, -,
127.0.0.1, -, 26/05/05, 14:23:24, W3SVC, VIVASANMARTIN, 127.0.0.1, 1149, 326, 72, 304, 0, GET, /htmla/iis2_t.gif, -,
127.0.0.1, -, 26/05/05, 14:23:24, W3SVC, VIVASANMARTIN, 127.0.0.1, 542, 327, 72, 304, 0, GET, /htmla/world_t.gif, -,
127.0.0.1, -, 26/05/05, 14:23:25, W3SVC, VIVASANMARTIN, 127.0.0.1, 253, 324, 72, 304, 0, GET, /htmla/bolt.gif, -,
127.0.0.1, -, 26/05/05, 14:23:40, W3SVC, VIVASANMARTIN, 127.0.0.1, 16230, 440, 2532, 200, 0, GET, /HtmlaScripts/htmla.dll, http/serv,
127.0.0.1, -, 26/05/05, 14:23:41, W3SVC, VIVASANMARTIN, 127.0.0.1, 16404, 340, 72, 304, 0, GET, /htmla/dir0.gif, -,
127.0.0.1, -, 26/05/05, 14:23:41, W3SVC, VIVASANMARTIN, 127.0.0.1, 16619, 342, 72, 304, 0, GET, /htmla/iis_t.gif, -,
127.0.0.1, -, 26/05/05, 14:23:41, W3SVC, VIVASANMARTIN, 127.0.0.1, 16458, 341, 72, 304, 0, GET, /htmla/serv1.gif, -,
127.0.0.1, -, 26/05/05, 14:23:41, W3SVC, VIVASANMARTIN, 127.0.0.1, 444, 340, 72, 304, 0, GET, /htmla/log0.gif, -,
127.0.0.1, -, 26/05/05, 14:23:41, W3SVC, VIVASANMARTIN, 127.0.0.1, 243, 339, 72, 304, 0, GET, /htmla/lin.gif, -,
127.0.0.1, -, 26/05/05, 14:24:01, W3SVC, VIVASANMARTIN, 127.0.0.1, 20232, 456, 4141, 200, 0, GET, /HtmlaScripts/htmla.dll, http/dir,
127.0.0.1, -, 26/05/05, 14:24:02, W3SVC, VIVASANMARTIN, 127.0.0.1, 1222, 339, 72, 304, 0, GET, /htmla/hand.gif, -,
127.0.0.1, -, 26/05/05, 14:24:02, W3SVC, VIVASANMARTIN, 127.0.0.1, 21443, 339, 72, 304, 0, GET, /htmla/dir1.gif, -,
127.0.0.1, -, 26/05/05, 14:24:02, W3SVC, VIVASANMARTIN, 127.0.0.1, 21216, 342, 72, 304, 0, GET, /htmla/house_t.gif, -,
127.0.0.1, -, 26/05/05, 14:24:02, W3SVC, VIVASANMARTIN, 127.0.0.1, 21502, 340, 72, 304, 0, GET, /htmla/serv0.gif, -,
127.0.0.1, -, 26/05/05, 14:24:35, W3SVC, VIVASANMARTIN, 127.0.0.1, 32705, 595, 299, 200, 0, POST, /HtmlaScripts/htmla.dll, http/diru,
127.0.0.1, -, 26/05/05, 14:24:35, W3SVC, VIVASANMARTIN, 127.0.0.1, 32792, 488, 3799, 200, 0, GET, /htmla/htmla.htm, -,
127.0.0.1, -, 26/05/05, 14:25:49, W3SVC, VIVASANMARTIN, 127.0.0.1, 641, 198, 2098, 200, 0, GET, /_vti_inf.html, -,
127.0.0.1, -, 26/05/05, 14:25:50, W3SVC, VIVASANMARTIN, 127.0.0.1, 9, 341, 103, 501, 50, POST, /_vti_bin/shtml.exe/_vti_rpc, -,
127.0.0.1, -, 26/05/05, 14:26:12, W3SVC, VIVASANMARTIN, 127.0.0.1, 190, 198, 2098, 200, 0, GET, /_vti_inf.html, -,
127.0.0.1, -, 26/05/05, 14:26:12, W3SVC, VIVASANMARTIN, 127.0.0.1, 6, 341, 103, 501, 50, POST, /_vti_bin/shtml.exe/_vti_rpc, -,
